
--- Locating docker-compose.yml ---
/root/qscrap-temp/docker-compose.yml
/opt/qscrap/docker-compose.yml

--- Backend Logs (from /opt/qscrap) ---
qscrap-backend  | [2026-02-19T08:23:49.258Z] [INFO] [node-40] Request started {"requestId":"64633fc7-6815-4512-9aae-65e353e9808c","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:23:49.261Z] [WARN] [node-40] Request completed {"requestId":"64633fc7-6815-4512-9aae-65e353e9808c","method":"POST","path":"/location","statusCode":429,"durationMs":3}
qscrap-backend  | [2026-02-19T08:23:53.526Z] [INFO] [node-40] Request started {"requestId":"70f46bee-ce15-4283-a5d7-c4fd17f8f5af","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:23:53.536Z] [INFO] [node-40] Request completed {"requestId":"70f46bee-ce15-4283-a5d7-c4fd17f8f5af","method":"POST","path":"/location","statusCode":200,"durationMs":10}
qscrap-backend  | [2026-02-19T08:23:53.728Z] [INFO] [node-40] Request started {"requestId":"bdbdb433-8d31-42d1-959b-dc3aa17e2572","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:23:53.730Z] [WARN] [node-40] Request completed {"requestId":"bdbdb433-8d31-42d1-959b-dc3aa17e2572","method":"POST","path":"/location","statusCode":429,"durationMs":2}
qscrap-backend  | [2026-02-19T08:23:55.968Z] [INFO] [node-40] Request started {"requestId":"e38dae9f-a23b-4253-9b3c-49de1f039709","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:23:55.971Z] [WARN] [node-40] Request completed {"requestId":"e38dae9f-a23b-4253-9b3c-49de1f039709","method":"POST","path":"/location","statusCode":429,"durationMs":3}
qscrap-backend  | [2026-02-19T08:23:57.164Z] [INFO] [node-40] Request started {"requestId":"1fee85cf-0819-43de-beb7-71da4864c175","method":"GET","path":"/api/search"}
qscrap-backend  | [2026-02-19T08:23:57.174Z] [INFO] [node-40] Request completed {"requestId":"1fee85cf-0819-43de-beb7-71da4864c175","method":"GET","path":"/","statusCode":200,"durationMs":10}
qscrap-backend  | [2026-02-19T08:24:00.220Z] [INFO] [node-40] Request started {"requestId":"fd5e9f77-d55a-452e-8363-c51e088b5cdc","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:00.246Z] [INFO] [node-40] Request completed {"requestId":"fd5e9f77-d55a-452e-8363-c51e088b5cdc","method":"POST","path":"/location","statusCode":200,"durationMs":26}
qscrap-backend  | [2026-02-19T08:24:00.449Z] [INFO] [node-40] Request started {"requestId":"0291be8a-dabb-4544-a5a7-749153b4bb5f","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:00.453Z] [WARN] [node-40] Request completed {"requestId":"0291be8a-dabb-4544-a5a7-749153b4bb5f","method":"POST","path":"/location","statusCode":429,"durationMs":4}
qscrap-backend  | [2026-02-19T08:24:00.856Z] [INFO] [node-40] Request started {"requestId":"b5a541ac-c7b7-4d52-9900-10e54e52cd09","method":"GET","path":"/api/operations/orders/17ef2148-7597-45b0-bb60-1abb3f1f94c6"}
qscrap-backend  | [2026-02-19T08:24:00.873Z] [INFO] [node-40] Request completed {"requestId":"b5a541ac-c7b7-4d52-9900-10e54e52cd09","method":"GET","path":"/orders/17ef2148-7597-45b0-bb60-1abb3f1f94c6","statusCode":200,"durationMs":17}
qscrap-backend  | [2026-02-19T08:24:01.038Z] [INFO] [node-40] Request started {"requestId":"6b0c85d6-e920-434d-bf33-dcb4a9b7a5cc","method":"GET","path":"/uploads/1771182598756-613606491.webp"}
qscrap-backend  | [2026-02-19T08:24:01.043Z] [INFO] [node-40] Request completed {"requestId":"6b0c85d6-e920-434d-bf33-dcb4a9b7a5cc","method":"GET","path":"/1771182598756-613606491.webp","statusCode":200,"durationMs":5}
qscrap-backend  | [2026-02-19T08:24:02.688Z] [INFO] [node-40] Request started {"requestId":"0a35fde2-c850-420e-8fc9-c6cda4de92b6","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:02.697Z] [WARN] [node-40] Request completed {"requestId":"0a35fde2-c850-420e-8fc9-c6cda4de92b6","method":"POST","path":"/location","statusCode":429,"durationMs":9}
qscrap-backend  | [2026-02-19T08:24:06.928Z] [INFO] [node-40] Request started {"requestId":"9413bf0a-969c-4962-b351-47ff8e5f1f67","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:06.935Z] [INFO] [node-40] Request completed {"requestId":"9413bf0a-969c-4962-b351-47ff8e5f1f67","method":"POST","path":"/location","statusCode":200,"durationMs":7}
qscrap-backend  | [2026-02-19T08:24:07.138Z] [INFO] [node-40] Request started {"requestId":"a8ef87a7-4ae9-4274-b6b4-3a12802f9c00","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:07.141Z] [WARN] [node-40] Request completed {"requestId":"a8ef87a7-4ae9-4274-b6b4-3a12802f9c00","method":"POST","path":"/location","statusCode":429,"durationMs":3}
qscrap-backend  | [2026-02-19T08:24:09.366Z] [INFO] [node-40] Request started {"requestId":"077225f9-7b62-43e9-adee-eb8cc98aea4c","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:09.369Z] [WARN] [node-40] Request completed {"requestId":"077225f9-7b62-43e9-adee-eb8cc98aea4c","method":"POST","path":"/location","statusCode":429,"durationMs":3}
qscrap-backend  | [2026-02-19T08:24:13.608Z] [INFO] [node-40] Request started {"requestId":"a459f825-505d-4354-9aaf-740f33598f14","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:13.617Z] [INFO] [node-40] Request completed {"requestId":"a459f825-505d-4354-9aaf-740f33598f14","method":"POST","path":"/location","statusCode":200,"durationMs":9}
qscrap-backend  | [2026-02-19T08:24:13.818Z] [INFO] [node-40] Request started {"requestId":"bab58ac0-a161-4a9a-aa9f-47a69d47a60d","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:13.820Z] [WARN] [node-40] Request completed {"requestId":"bab58ac0-a161-4a9a-aa9f-47a69d47a60d","method":"POST","path":"/location","statusCode":429,"durationMs":2}
qscrap-backend  | [2026-02-19T08:24:14.072Z] [INFO] [node-40] Request started {"requestId":"b6b61515-8f05-44e5-986e-54fe77f3b25e","method":"GET","path":"/api/operations/dashboard/stats"}
qscrap-backend  | [2026-02-19T08:24:14.079Z] [INFO] [node-40] Request completed {"requestId":"b6b61515-8f05-44e5-986e-54fe77f3b25e","method":"GET","path":"/dashboard/stats","statusCode":304,"durationMs":7}
qscrap-backend  | [2026-02-19T08:24:14.215Z] [INFO] [node-40] Request started {"requestId":"c9a9faf9-0507-48de-9551-fc76fe461180","method":"GET","path":"/api/reviews/pending"}
qscrap-backend  | [2026-02-19T08:24:14.217Z] [INFO] [node-40] Request started {"requestId":"a5058e1f-6031-4d9e-8684-6baaeff003c4","method":"GET","path":"/api/operations/dashboard/stats"}
qscrap-backend  | [2026-02-19T08:24:14.217Z] [INFO] [node-40] Request started {"requestId":"a6d51acc-89f7-40de-86a6-fa92d15b5fbd","method":"GET","path":"/api/finance/payouts"}
qscrap-backend  | [2026-02-19T08:24:14.223Z] [INFO] [node-40] Request completed {"requestId":"a5058e1f-6031-4d9e-8684-6baaeff003c4","method":"GET","path":"/dashboard/stats","statusCode":304,"durationMs":6}
qscrap-backend  | [2026-02-19T08:24:14.224Z] [INFO] [node-40] Request completed {"requestId":"c9a9faf9-0507-48de-9551-fc76fe461180","method":"GET","path":"/pending","statusCode":304,"durationMs":9}
qscrap-backend  | [2026-02-19T08:24:14.230Z] [INFO] [node-40] Request completed {"requestId":"a6d51acc-89f7-40de-86a6-fa92d15b5fbd","method":"GET","path":"/payouts","statusCode":304,"durationMs":13}
qscrap-backend  | [2026-02-19T08:24:16.069Z] [INFO] [node-40] Request started {"requestId":"5f60b6a9-48ac-46e0-b04a-43a8df52206b","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:16.071Z] [WARN] [node-40] Request completed {"requestId":"5f60b6a9-48ac-46e0-b04a-43a8df52206b","method":"POST","path":"/location","statusCode":429,"durationMs":2}
qscrap-backend  | [2026-02-19T08:24:20.328Z] [INFO] [node-40] Request started {"requestId":"15b5e03c-11f0-4add-813f-e19d895eab79","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:20.336Z] [INFO] [node-40] Request completed {"requestId":"15b5e03c-11f0-4add-813f-e19d895eab79","method":"POST","path":"/location","statusCode":200,"durationMs":8}
qscrap-backend  | [2026-02-19T08:24:20.518Z] [INFO] [node-40] Request started {"requestId":"9cf1ac6a-cc26-4fd8-a444-e8b101ee9b3d","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:20.521Z] [WARN] [node-40] Request completed {"requestId":"9cf1ac6a-cc26-4fd8-a444-e8b101ee9b3d","method":"POST","path":"/location","statusCode":429,"durationMs":3}
qscrap-backend  | [2026-02-19T08:24:22.770Z] [INFO] [node-40] Request started {"requestId":"3fb3e27a-a4fc-433e-9c45-acf9072d48a7","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:24:22.773Z] [WARN] [node-40] Request completed {"requestId":"3fb3e27a-a4fc-433e-9c45-acf9072d48a7","method":"POST","path":"/location","statusCode":429,"durationMs":3}
